,,,UNSHADED <50%,,,,FINE DEAD FUEL MOISTURE,,,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Dry Bulb Temp,,,,,,,,,,,,,,,,
110 +,100,100,80,70,60,60,50,40,40,30,30,20,20,20,20,10
100-109,100,90,80,70,60,60,50,40,40,30,30,20,20,20,10,10
90-99,100,90,80,70,60,50,40,40,30,30,30,20,20,20,10,10
80-89,100,90,80,70,60,50,40,40,30,30,20,20,20,10,10,10
70-79,100,80,70,60,60,50,40,40,30,30,20,20,20,10,10,10
60-69,90,80,70,60,50,50,40,30,30,20,20,20,20,10,10,10
50-59,90,80,70,60,50,40,40,30,30,20,20,20,10,10,10,10
40-49,90,80,70,60,50,40,40,30,30,20,20,20,10,10,10,10
30-39,80,70,60,50,50,40,30,30,20,20,20,10,10,10,10,10
,,,,,,,,,,,,,,,,
,,,SHADED >50%,,,,FINE DEAD FUEL MOISTURE,,,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Dry Bulb Temp,,,,,,,,,,,,,,,,
110 +,100,90,80,70,60,50,50,40,40,30,30,20,20,20,10,10
100-109,100,90,80,70,60,50,50,40,30,30,30,20,20,20,10,10
90-99,100,90,80,70,60,50,40,40,30,30,20,20,20,10,10,10
80-89,100,80,70,60,60,50,40,40,30,30,20,20,20,10,10,10
70-79,90,80,70,60,50,50,40,30,30,30,20,20,20,10,10,10
60-69,90,80,70,60,50,40,40,30,30,20,20,20,10,10,10,10
50-59,90,80,70,60,50,40,40,30,30,20,20,20,10,10,10,10
40-49,90,80,60,50,50,40,30,30,30,20,20,20,10,10,10,10
30-39,80,80,60,50,50,40,30,30,20,20,20,10,10,10,10,10